-6.420585536099999935e+00 -2.341082197700000034e+00 3.314716213600000128e+00 3.314852213800000058e+00 6.226754107399999683e+00 1.029863004449999941e+01 1.029873409260000017e+01 1.351742380159999968e+01
-6.420644165399999714e+00 -2.340930542400000203e+00 3.314736883200000150e+00 3.314871878900000013e+00 6.226774750599999741e+00 1.029861571990000080e+01 1.029871945400000044e+01 1.351727756480000053e+01
-6.420825741099999817e+00 -2.340480079000000213e+00 3.314797046399999836e+00 3.314930919200000048e+00 6.226836878300000322e+00 1.029857208019999959e+01 1.029867547219999935e+01 1.351684006660000037e+01
-6.421130284700000246e+00 -2.339730888000000064e+00 3.314896733999999956e+00 3.315029365100000014e+00 6.226940530900000326e+00 1.029849912140000079e+01 1.029860214340000013e+01 1.351611166720000057e+01
-6.421557825399999864e+00 -2.338683102400000102e+00 3.315035997799999912e+00 3.315167268600000217e+00 6.227085775399999967e+00 1.029839683740000034e+01 1.029849946160000052e+01 1.351509296599999921e+01
-6.422108399699999914e+00 -2.337336908400000191e+00 3.315214910499999945e+00 3.315344702600000026e+00 6.227272705099999861e+00 1.029826521939999928e+01 1.029836741839999981e+01 1.351378479939999977e+01
-6.422782050600000403e+00 -2.335692545100000128e+00 3.315433565899999824e+00 3.315561761200000124e+00 6.227501439600000133e+00 1.029810425640000027e+01 1.029820600300000066e+01 1.351218823950000036e+01
-6.423578827100000055e+00 -2.333750305000000136e+00 3.315692078100000106e+00 3.315818559000000221e+00 6.227772124200000370e+00 1.029791393520000042e+01 1.029801520240000023e+01 1.351030459140000062e+01
-6.424498783199999785e+00 -2.331510533799999951e+00 3.315990581199999898e+00 3.316115230899999933e+00 6.228084929599999597e+00 1.029769424020000024e+01 1.029779500150000082e+01 1.350813539049999967e+01
-6.425541976799999944e+00 -2.328973631199999783e+00 3.316329229299999959e+00 3.316451931900000094e+00 6.228440051599999805e+00 1.029744515370000002e+01 1.029754538269999919e+01 1.350568239919999947e+01
-6.426708468700000232e+00 -2.326140050599999842e+00 3.316708195699999973e+00 3.316828836300000027e+00 6.228837709699999614e+00 1.029716665589999991e+01 1.029726632660000085e+01 1.350294760270000083e+01
-6.427998320999999571e+00 -2.323010299399999923e+00 3.317127672299999830e+00 3.317246137300000175e+00 6.229278147599999649e+00 1.029685872509999989e+01 1.029695781170000046e+01 1.349993320499999960e+01
-6.429411596099999571e+00 -2.319584939899999920e+00 3.317587869300000047e+00 3.317704046499999837e+00 6.229761631399999722e+00 1.029652133729999974e+01 1.029661981459999964e+01 1.349664162370000042e+01
-6.430948354699999925e+00 -2.315864588699999782e+00 3.318089014399999925e+00 3.318202793199999778e+00 6.230288449499999714e+00 1.029615446709999915e+01 1.029625230979999984e+01 1.349307548490000030e+01
-6.432608654300000062e+00 -2.311849917600000026e+00 3.318631352100000154e+00 3.318742623599999941e+00 6.230858911400000366e+00 1.029575808689999938e+01 1.029585527030000058e+01 1.348923761750000061e+01
-6.434392547399999884e+00 -2.307541653799999981e+00 3.319215142900000082e+00 3.319323800499999866e+00 6.231473346899999655e+00 1.029533216759999981e+01 1.029542866749999952e+01 1.348513104669999940e+01
-6.436300079799999629e+00 -2.302940580100000023e+00 3.319840662799999897e+00 3.319946601599999880e+00 6.232132104899999803e+00 1.029487667859999966e+01 1.029497247099999946e+01 1.348075898759999980e+01
-6.438331288399999686e+00 -2.298047535099999816e+00 3.320508202100000084e+00 3.320611319799999794e+00 6.232835552500000098e+00 1.029439158799999987e+01 1.029448664909999955e+01 1.347612483810000050e+01
-6.440486199000000411e+00 -2.292863413500000114e+00 3.321218064500000011e+00 3.321318261200000066e+00 6.233584073800000347e+00 1.029387686209999941e+01 1.029397116880000063e+01 1.347123217150000052e+01
-6.442764824700000226e+00 -2.287389166500000126e+00 3.321970566700000127e+00 3.322067745100000025e+00 6.234378068799999895e+00 1.029333246650000078e+01 1.029342599599999986e+01 1.346608472860000028e+01
-6.445167163499999852e+00 -2.281625802000000203e+00 3.322766036600000028e+00 3.322860102399999960e+00 6.235217952100000183e+00 1.029275836549999923e+01 1.029285109539999965e+01 1.346068640969999919e+01
-6.447693195800000332e+00 -2.275574384400000039e+00 3.323604813100000221e+00 3.323695674900000174e+00 6.236104151400000184e+00 1.029215452260000063e+01 1.029224643080000057e+01 1.345504126580000026e+01
-6.450342882500000208e+00 -2.269236035000000040e+00 3.324487244500000216e+00 3.324574814099999998e+00 6.237037106499999872e+00 1.029152090040000012e+01 1.029161196539999956e+01 1.344915349040000052e+01
-6.453116162799999778e+00 -2.262611932200000009e+00 3.325413687599999779e+00 3.325497880099999914e+00 6.238017267900000107e+00 1.029085746089999986e+01 1.029094766160000063e+01 1.344302740980000088e+01
-6.456012951399999977e+00 -2.255703311099999997e+00 3.326384506600000179e+00 3.326465240800000167e+00 6.239045094899999810e+00 1.029016416560000025e+01 1.029025348140000062e+01 1.343666747390000005e+01
-6.459033136799999575e+00 -2.248511463899999896e+00 3.327400072000000097e+00 3.327477270200000170e+00 6.240121054900000352e+00 1.028944097579999983e+01 1.028952938649999993e+01 1.343007824680000084e+01
-6.462176578700000285e+00 -2.241037739499999848e+00 3.328460759299999960e+00 3.328534347899999801e+00 6.241245621000000021e+00 1.028868785230000071e+01 1.028877533820000068e+01 1.342326439690000051e+01
-6.465443106000000384e+00 -2.233283543299999785e+00 3.329566948000000082e+00 3.329636857400000149e+00 6.242419271400000191e+00 1.028790475629999968e+01 1.028799129819999969e+01 1.341623068660000051e+01
