 #.record         time (fs)       #.carrier/u.c. 
        0            0.0000   4.9648094380564051E-04   2.9748470354810053E+00
        1           10.0000   4.9699632173616883E-04   2.9749141081479218E+00
        2           20.0000   4.9744052627689048E-04   2.9749741159263308E+00
        3           30.0000   4.9783219335478013E-04   2.9750292375781480E+00
        4           40.0000   4.9818170572434170E-04   2.9750807197384188E+00
        5           50.0000   4.9849554642422862E-04   2.9751293276784656E+00
        6           60.0000   4.9877816988607793E-04   2.9751755592829556E+00
        7           70.0000   4.9903290438564011E-04   2.9752197549537156E+00
        8           80.0000   4.9926242205516999E-04   2.9752621578726393E+00
        9           90.0000   4.9946899381674687E-04   2.9753029488372578E+00
       10          100.0000   4.9965462977752926E-04   2.9753422672765932E+00
       11          110.0000   4.9982115644130599E-04   2.9753802243860767E+00
       12          120.0000   4.9997025863830682E-04   2.9754169115888476E+00
       13          130.0000   5.0010350187081780E-04   2.9754524061329155E+00
       14          140.0000   5.0022234406326771E-04   2.9754867748818836E+00
       15          150.0000   5.0032814188566877E-04   2.9755200769354069E+00
       16          160.0000   5.0042215459203897E-04   2.9755523654722555E+00
       17          170.0000   5.0050554699746517E-04   2.9755836890645422E+00
       18          180.0000   5.0057939243422760E-04   2.9756140926241863E+00
       19          190.0000   5.0064467606641722E-04   2.9756436180888164E+00
       20          200.0000   5.0070229867868216E-04   2.9756723049204425E+00
